Class Name,Subject Name,Chapter,Language,Question,Question Hindi,Option 1,Option 2,Option 3,Option 4,Correct Response,Image
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
10th (Matric),Hindi,Shram vibhajan aur jaati pratha,Hindi,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,गोपियों ने किन-किन उदाहरणों के माध्यम से उद्धव को उलाहने दिए हैं?,वे कृष्ण के आने की इंतज़ार में ही जी रही थीं किंतु कृष्ण ने स्वयं न आकर योग-संदेश भिजवा दिया। इससे उनकी विरह-व्यथा और अधिक बढ़ गई है।,,वे कृष्ण से रक्षा की गुहार लगाना चाह रही थीं  वहाँ से प्रेम का संदेश चाह रही थीं। परंतु वहीं से योग-संदेश की धारा को आया देखकर उनका दिल टूट गया।,वे कृष्ण से अपेक्षा करती थीं कि वे उनके प्रेम की मर्यादा को रखेंगे। वे उनके प्रेम का बदला प्रेम से देंगे। किंतु उन्होंने योग-संदेश भेजकर प्रेम की मर्यादा ही तोड़ डाली।,4,
